Guid	Qcate	Q	A	Keywords_A	Output_conf	Output
2adb877c-0530-4080-9abd-3fc0548cd4c5	text	When did the Seleucid Empire exist and who conquered the remaining eastern lands of the Seleucid Empire in the mid-second century BC?	["The Seleucid Empire was a Hellenistic state in Western Asia that existed from 312 BC to 63 BC.Mithridates I of Parthia conquered much of the remaining eastern lands of the Seleucid Empire in the mid-second century BC.", "\"The Seleucid Empire existed rom 312 BC to 63 BC and Mithridates I of Parthia conquered the remaining eastern lands of the Seleucid Empire in the mid-second century BC.\"", "\"Seleucid Empire existed from 312 BC to 63 BC and Mithridates I of Parthia conquered much of the remaining eastern lands of the Seleucid Empire in the mid-second century BC.\"", "\"The Seleucid Empire existed from 312 BC to 63 BC; Mithridates I of Parthia conquered the remaining eastern lands of the Seleucid Empire in the mid-second century BC.\"", "\"The Seleucid Empire existed from 312 BC to 63 BC. It was the Mithridates I of Parthia that conquered much of the remaining eastern lands of the Seleucid Empire in the mid-second century BC.\"", "\"It is existed from 312 BC to 63 BC and Mithridates I of Parthia was the conqueror of the Seleucid Empire.\""]	"from 312 BC to 63 BC; Mithridates I of Parthia"	1	["The was a Hellenistic state in Western Asia that existed from 312 BC to 63 BC. It was founded by Seleucus I Nicator"]
594f616a-e758-44be-b756-ef3efa8d72aa	text	Who was the Patriarch of Antioch until 182 that is the earliest Church father documented to have used the "Trinity"?	["Theophilus of Antioch", "\"Theophilus was the Patriarch of Antioch until 182 that is the earliest Church father documented to have used the \"Trinity\"\"", "\"Theophilus was the Patriarch of Antioch from 169 until 182.\"", "\"This person was Theophilus.\"", "\"Theophilus as the Patriarch of Antioch until 182.\"", "\"Theophilus was the Patriarch of Antioch until 182 and is the earliest Church father documented to have used the \"Trinity\".\""]	"Theophilus"	1	["\"Theophilus of Antioch. Theophilus (Greek: \u0398\u03b5\u03cc\u03c6\u03b9\u03bb\u03bf\u03c2 \u1f41 \u1f08\u03bd\u03c4\u03b9\u03bf\u03c7\u03b5\u03cd\u03c2) is the earliest Church father documented to have used the word \"\"Trinity\"\" to refer to God. Some Trinitarians say the doctrine of the Trinity was revealed in New Testament times; others, that it is revealed in the Patristic period.\""]
af377f3f-2a72-4e84-b453-6612314a3c78	text	What is the most prominent collection of the agencies whose members often work with each other and with local law enforcement during official events and special occasions?	["The United States Department of Justice", "\"The United States Department of Justice is the most prominent collection of the agencies whose members often work with each other and with local law enforcement during official events and special occasions.\"", "\"The United States Department of Justice is the most noticeable collection of agencies whose members frequently collaborate with one another and with local law enforcement during official events and special occasions.\"", "\"The United States Department of Justice is the most prominent collection of federal law enforcement agencies.\"", "\"The United States Department of Justice is the most prominent collection of agencies whose members often work with each other and with local law enforcement during official events and special occasions.\""]	"United States Department of Justice"	1	["U.U.S. federal law enforcement agencies often work with each other and with local law enforcement during official events and special occasions, such as presidential visits to the United Nations General Assembly in New York City. The United States Department of Justice was formerly the largest, and is still the most prominent, collection of federal agencies in the United States. What is the largest collection of the agencies whose members often work together and with other agencies in other countries?"]
3bffee57-b25a-40dc-95a4-55067e9aba1b	text	Do State Highway NASA Road 1 and US 72 run north & south or do they run east & west?	["east & west", "\"State Highway NASA Road 1 and US 72 run east & west.\"", "\"Both State Highway NASA Road 1 and US 72 run east and west.\"", "\"State Highway NASA Road 1 and US 72 run east and west.\""]	"east & west"	1	["State Road 1 (also NASA Road 1) is an east\u2013west state highway that runs from Interstate 45 (I-45) in Webster to State Highway 146 / future State Highway 99 (SH 146/future SH 99) in Seabrook. The highway is a six- to eight-lane divided highway for most of its length. Legally, the Mississippi section of US 72 is defined in Mississippi Code \u00a7 65-3-3. US 72 in the United States is defined"]
93bd165d-4d4b-41ef-9139-ae427eff4a9f	text	Most forms of elemental sulfur ( S 8 and other rings and chains) do not combine with what, which Disulfur monoxide forms upon decomposition at room temperature?	["SO 2", "\"Most forms of elemental sulfur do not combine with SO 2, which disulfur monoxide forms upon decomposition at room temperature.\"", "\"SO 2 does not combine well with most forms of sulfur.\""]	"SO 2"	1	["Dis.Disulfur monoxide is a highly reactive gas. On decomposition at room temperature it forms SO 2 via the formation of polysulfur oxides. The solid can be obtained at liquid nitrogen temperatures, often appearing dark-colored owing to impurities. Disulfur dioxide has also been formed by an electric discharge in sulfur dioxide. Another laboratory procedure is to react oxygen atoms with carbonyl sulfide or carbon disulfide vapour. Although the reaction is highly unstable"]
382d8963-64ac-434f-8de9-d237c64e92c4	text	What is the approximate shape of rotating planets and other celestial bodies and a common shape for the density distribution of protons and neutrons in an atomic nucleus?	["Oblate spheroid.", "\"The most common shapes for the density distribution of protons and neutrons in an atomic nucleus are spherical, prolate, and oblate spheroidal.\"", "\"The oblate spheroid is the approximate shape of rotating planets and other celestial bodies and a common shape for the density distribution of protons and neutrons in an atomic nucleus.\"", "\"Both cases are oblate spheroidal in shape.\"", "\"Spherical is the approximate shape of rotating planets and other celestial bodies and a common shape for the density distribution of protons and neutrons in an atomic nucleus\""]	"spheroid shaped"	1	["TheThe oblate spheroid is one of the most common shapes for the density distribution of protons and neutrons in an atomic nucleus. Saturn is the most oblate planet in the Solar System, with a flattening of 0.09796"]
9931124a-6d42-4fb5-aba5-ad25a3a6db99	text	The yellowback fusilier and the caesio teres are both species of what?	["Fish.", "\"Yellowback fusilier and the caesio teres are both species of fish.\"", "\"The yellowback fusilier and the caesio teres are both species of fish.\"", "\"The yellowback fusilier and the Caesio Teres are both species of fish.\""]	"fish"	1	["Ca Caesio teres, the yellow and blueback fusilier, is a small to medium-sized fish which grows to about 40 cm (16 in) long. The mouth is small and terminal and is protusible, being able to be extended forward to swallow food. It is found in the Mediterranean Sea and the Indian Ocean."]
a02beb7d-1e5e-4c68-a640-5520421e332a	text	A VAD is used to either partially or to completely replace the function of a failing what, which in humans is approximately the size of a closed fist and is located between the lungs?	["Heart", "\"A VAD is used to either partially or to completely replace the function of a failing heart.\"", "\"A VAD is used to replace the function of the heart.\"", "\"A VAD is used to partially or completely replace the function of a failing heart.\"", "\"A VAD is used either to partially or to completely replace the function of a failing heart.\""]	"heart"	1	["A. In humans, the heart is approximately the size of a closed fist and is located between the upper left and to the right side of the middle of the chest is located in the lower left and right ventricles are located on the left side of a human's chest.A ventricular assist device (VAD) is an electromechanical device for assisting cardiac circulation, which is used either to partially or to completely replace the function of a failing heart. A"]
ecd9156a-bb64-4ea2-a8ee-fec1d3cd0691	text	The logo - syllabic script that was used to write several languages of the Ancient Near East, possessed a common sign used in the Epic of whom?	["\"The logo-syllabid script that was used to write several languages of the Ancient Near East possessed a common sign used in the Epic of Gilgamesh.\"", "\"The logo - syllabic script that was used to write several languages of the Ancient Near East, possessed a common sign used in the Epic of Gilgamesh.\"", "\"The logo - syllabic script that was used to write several languages of the Ancient Near East possessed a common sign used in the Epic of Gilgamesh.\""]	"The Epic of Gilgamesh."	1	["CK was the most common language of the ancient Near East.Cuneiform is a logo of the Amarna letters, also used for the cuneiform letters. Wikimedia Commons has media related to Cuneiform signs, Amarna symbols. The script was in active use from the early Bronze Age until the beginning of the Common Era. It is named for the characteristic wedge-shaped impressions ( Latin: cuneus) which form its signs. Cuneus is a syllabic"]
2052da9a-b1b6-4725-9d8f-28170527acee	text	Who acts in Stargate SG-1 in a regular role for longer: Don S. Davis or Michael Shanks?	["Michael Shanks plays in a regular role longer.", "\"Michael Shanks acts in Stargate SG-1 in a regular role for longer.\"", "\"Michael Shanks acts in Stargate SG-1 in a regular role for longer than Don S. Davis.\"", "\"Don S. Davis acted in Stargate SG-1 in a regular role for longer than Michael Shanks\"", "\"Michael Shanks appears in Stargate SG-1 as a regular role for longer compared to Don S. Davis.\"", "\"Shanks is a regular for longer.\""]	"Michael Shanks"	1	["George Hammond is a USAF Major General (later Lieutenant General who commands Stargate Command in the first seven seasons. He is played by James Spader in the film and by Michael Shanks in a regular role in seasons 1\u20135 and 7\u201310, with a recurring role afterwards. He also appears in Stargate: Continuum and season 1 of Stargate Atlantis.George S. Hammond"]
771a00a5-ebca-4847-a24d-ea5b370006e6	text	The West Village is bounded by what river that becomes Yonkers on its east bank, to its west?	["The Hudson River.", "\"The West Village is bounded by the Hudson River.\"", "\"The West Village is bounded to its west by the Hudson river that becomes Yonkers on its east bank.\"", "\"The West Village is bounded by the Hudson River, which becomes Yonkers on its east bank.\""]	"Hudson river"	1	["FurtherFurther south the east bank of the river becomes Yonkers and then the Riverdale neighborhood of the Bronx in New York City. The traditional boundaries of the West Village are the Hudson River to the west, West 14th Street to the north, Greenwich Avenue to the east, and Christopher Street to be the south. South of the confluence of the Hudson and Spuyten Duyvil Creek, the east Bank of the River becomes Manhattan. The West Village is bounded by what river that"]
b91fe3a9-b7ac-4162-bae7-4338348d5fb9	text	What type of association is administered through five Scout Counties in the region that has a Carboniferous  Pennine chain of hills?	["The Scout Association.", "\"The Scout Association in Yorkshire and the Humber is administered through five Scout Counties.\"", "\"The Scout Association is administered through five Scout Counties in the region that has a Carboniferous Pennine chain of hills.\"", "\"A Scout Association is administered through five Scout Counties in the region that has a Carboniferous Pennine chain of hills.\"", "\"The Scout Association in Yorkshire and the Humber are administered in this way.\""]	"The Scout Association"	1	["GeGeology in Yorkshire and the Yorkshire and Humber region is of Carboniferous age. The Pennine chain of hills in the west is of Permo-Triassic origin. The central vale is of Ordovician origin.The Scout Association in Yorkshire"]
f1c18c9b-5199-4151-9227-11812dff7161	text	The oldest fossil evidence for these organisms is from Late Jurassic aged amber from Thailand, and these organisms fix what element in the atmosphere?	["Diatoms perform nitrogen fixation.", "\"The oldest fossil evidence for diatoms is from Late Jurassic aged amber from Thailand. Diatoms fix nitrogen in the atmosphere.\"", "\"These organisms fix nitrogen in the atmosphere.\"", "\"The oldest fossil evidence for these organisms is from Late Jurassic aged amber from Thailand and fix nitrogen in the atmosphere.\"", "\"Fossil evidence of diatoms is from Late Jurassic aged amber from Thailand, and these organisms fix nitrogen in the atmosphere.\"", "\"Diatoms originated during or before the early Jurassic period and they fix nitrogen in the atmosphere.\""]	"nitrogen"	1	["F.Fossil evidence suggests that diatoms originated during or before the early Jurassic period, which was about 150 to 200 million years ago. The oldest fossil evidence for diatom is a specimen of extant genus Hemiaulus in Late Jurassic aged amber from Thailand. The family Rhopalodiaceae also possess a cyanobacterial endosymbiont called a spheroid body. This endosys has lost its photosynthetic properties, but has kept its"]
b65b6c4f-beba-42a7-af5b-81dc5530fb21	text	Serpent's Mouth, and the Dragons' Mouths that are also known in Spanish, are both found near what country?	["Venezuela.", "\"Both the Serpent's Mouth and the Dragons' Mouths are found near Venezuela and Trinidad.\"", "\"Serpent's Mouth, and the Dragons' Mouths that are also known in Spanish, are both found near Venezuela\"", "\"Serpent's Mouth, and the Dragons' Mouths that are also known in Spanish, are both found near Venezuela.\"", "\"It says that the Serpent's Mouth is a strait lying between Icacos Point in southwest Trinidad and Tobago and the north coast of Venezuela and that the Dragons' Mouths is located between the Paria Peninsula of Venezuela and the Chaguaramas Peninsula of Trinidad. They both are near Venezuela.\""]	"Venezuela"	1	["The.The Columbus Channel or Serpent's Mouth ( Spanish: Boca de la Serpiente ), is a strait lying between Icacos Point in southwest Trinidad and Tobago and the north coast of Venezuela. The channel is about nine miles (14 km) wide at its narrowest point. It leads from the Atlantic Ocean to the Gulf of Paria. In the north, the Gulf is connected to the Caribbean Sea through the Dragons' Mouths"]
f0e23e90-478f-456b-a6a1-7b2ae1485921	text	What symbol can be used alone or in combination to create sequences that may be of arbitrary length?	["A numerical digit.", "\"A numerical digit can be used alone or in combination to create sequences that may be of arbitrary length.\"", "\"A numerical digit is a single symbol used alone or in combinations to represent numbers in a positional numeral system. Also, that a numeral is a sequence of digits, which may be of arbitrary length. The common factor is a digit.\"", "\"A numerical digit can be used alone or in combination.\"", "\"This is referred to as a numerical digit.\""]	"Numerical digit"	1	["\"\"In a basic digital system, a numeral is a sequence of digits. Each position in the sequence has a place value, and each digit has a value. A numerical digit is a single symbol used alone (such as \"\"2\"\") or in combinations of digits, to represent numbers in a digital system. The value of the numeral can be computed by multiplying the values of the digits.\""]
4083729d-a3ec-426d-b99e-c237ec37dc24	text	What is the name of a liver fluke like that lancet fluke that is a parasitic termatode that infects the liver mammals including humans?	["Fasciola hepatica", "\"Fasciola hepatica, also known as the common liver fluke, is a parasitic trematode that infects the liver of mammals including humans.\"", "\"Fasciola hepatica (also known as the common liver fluke), like the lancet fluke, is a parasitic termatode that infects the liver of mammals, including humans.\"", "\"Fasciola hepatica is its name.\""]	"Fasciola hepatica"	1	["FFasciola hepatica (also known as the common liver fluke, the lancet liver flake, is a parasitic worm in the phylum Platyhelminthes. It infects the livers of various mammals, including humans. The disease caused by the fluke is called fascioliasis. It has been classified as a neglected tropical disease. Dicrocoelium dendriticum is the type species."]
befea641-d897-40a9-a259-dbb1fecd767f	text	What is the northern elevation of the 72 km long mountain range found in Tooele County, Utah?	["It is over 6000 feet high.", "\"The northern elevation of the 72 km long mountain range found in Tooele County, Utah is 6000+ ft\"", "\"The northern elevation is 6000+ feet.\"", "\"The range is only moderate elevation 6000+ ft in the north\"", "\"The northern elevation of the 72 km long mountain range found in Tooele County, Utah is 6000+ feet.\"", "\"The range is only moderate elevation 6000+ ft in the north.\""]	"6000+ ft"	1	["// \ufeff The Cedar Mountains of Tooele County, Utah, USA are a 45-mile (72 km) long mountain range located in the county's east sections of the Great Salt Lake Desert on the range's west and southwest flanks. / 40.56355\u00b0N 112.98137\u00b0W"]
bd2298e0-5faa-48fc-b795-50ef32e04859	text	The DIA and the DCDI are both responsible for what type of work?	["Intelligence", "\"Defense intelligence is the responsibility of both the DIA and the DCDI.\"", "\"he DIA and the DCDI are both responsible for intelligence work.\"", "\"The DIA and DCDI are both responsible for intelligence analysis.\"", "\"The DIA and the DCDI are both responsible for defence intelligence.\"", "\"They are both intelligence agencies.\""]	"intelligence"	1	["D. The Defense Intelligence Agency ( DIA) is an intelligence agency of the United States federal government, providing global defence intelligence assessments and strategic warning on a wide range of issues including, intelligence support for operations; proliferation and arms control; conventional military capabilities; strategic warning and technical evaluations of weapons systems.DCDI is responsible for intelligence analysis and production"]
c72e7fc0-df7f-4520-8135-350b171043e2	text	Mahendra Daha and the body of water where Wizard Island, located near the western shore is are both types of what?	["Lakes.", "\"Wizard Island is located near the western shore of Crater Lake; Mahendra Daha is also a lake.\"", "\"Mahendra Daha and the body of water where Wizard Island, located near the western shore is are both types of lakes.\"", "\"Mahendra Daha and the body of water where Wizard Island, located near the western shore are lakes.\"", "\"They are both lakes.\"", "\"Mahendra Daha and the body of water where Wizard Island, near the western shore, are both types of lakes.\""]	"Lakes"	1	["R.Rara Lake is the largest lake in Nepal. It lies about 3200m above sea level with total area of 10.4 square kilometres (4.0 sq mi). This lake reflects the shadow of Sisne and Kanj irowa mountains. The Lake (also called Mahendra Daha) is located in Karnali Zone, Jumla and Mugu District"]
3dbc9e9f-3205-4266-bd5f-3a8edbcd02ac	text	What type of voting has been divided into several categories including pocketbook voting versus sociotropic voting, and retrospective voting versus prospective voting that is a theoretical perspective which argues that voter behavior is heavily influenced by the economic conditions in their country at the time of the election?	["economic voting", "\"This is called economic voting.\"", "\"Economic voting has been divided into several categories including pocketbook voting versus sociotropic voting, and retrospective voting versus prospective voting (based on previous economic trends). Economic voting is a theoretical perspective which argues that voter behavior is heavily influenced by the economic conditions in their country at the time of the election.\"", "\"Economic voting has been divided into several categories including pocketbook voting versus sociotropic voting, and retrospective voting versus prospective voting that is a theoretical perspective which argues that voter behavior is heavily influenced by the economic conditions in their country at the time of the election\"", "\"Economic voting has been divided into several categories and is a theoretical perspective which argues that voter behavior is heavily influenced by the economic conditions in their country at the time of the election\""]	"Economic voting"	1	["In.In political science, economic voting is a theory of how a country\u2019s economic conditions in the context of an election is influenced by the economic conditions of the country at the time of the election. Research on economic voting combines the disciplines of political science and economics using econometric techniques. Economic voting has been divided into several categories, including pocketbook voting (based on individual concerns) versus sociotropic voting ( based on the economy at large), as well as retrospective voting"]
12f54dc3-3e40-400a-b818-f5967246fa07	text	What is the primary type of cell found in the epidermis, the outermost layer of the skin that has the function of the formation of a barrier against environmental damage by heat, UV radiation, water loss, pathogenic bacteria, fungi, parasites, and viruses?	["Keratinocytes", "\"Keratinocytes are the primary type of cell found in the epidermis.\"", "\"Keratinocytes are the primary type of cell found in the epidermis\"", "\"This would be the keratinocytes.\"", "\"Keratinocytes are the primary type of cell found in the epidermis, the outermost layer of the skin that has the function of the formation of a barrier against environmental damage by heat, UV radiation, water loss, pathogenic bacteria, fungi, parasites, and viruses.\""]	"Keratinocytes"	1	["TheKeratin is a type of cell found in the outermost layer of the skin. In humans, they constitute 90% of epidermal skin cells.The primary function of keratinocytes is the formation of a barrier against environmental damage by heat, UV radiation, water loss, pathogenic bacteria, fungi, parasites, and viruses."]
dc2ad8e3-5f04-490d-ba22-56870a2057a8	text	The tombs of whom were hidden away in the area where the Tomb of Memnon exists?	["Tombs of the kings.", "\"The tombs of the kings were hidden away in the Valley of the Kings, the area where the Tomb of Memnon exists.\"", "\"The tombs of kings were hidden away in the area where the Tomb of Memnon exists\"", "\"The tombs of the kings were hidden.\"", "\"Tombs of kings were hidden in this area.\"", "\"The tombs of Egyptian kings were hidden in the Valley of the Kings.\""]	"Kings"	1	["Most is the largest tomb in the Valley of the Kings. With 120 known rooms and excavation work still underway, it is probably the largest Tomb of all the tombs in the valley.Most of the open tombs are located in the East Valley, and this is where most tourists can be found. Also known as the Tomb of Memnon or La Tombe de la M\u00e9tempsychose. Since the tomb sites of the kings were hidden, the kings' mortuary temples were located away"]
c6adad7c-e0b4-4038-8b2d-35179b420f0e	text	What are the official languages of the country that borders Iran, China and Turkmenistan?	["Dari and Pashto are the official languages of Afghanistan, the country that border Iran, China, and Turkmenistan.", "\"The official languages of the country that borders Iran, China and Turkmenistan are Dari and Pashto.\"", "\"The official languages are Dari and Pashto of the country that borders Iran, China and Turkmenistan.\"", "\"Dari and Pashto are the official languages of Afghanistan.\"", "\"The official languages of Afghanistan, the country that borders Iran, China and Turkmenistan, are Dari and Pashto.\""]	"Dari and Pashto"	1	["Afistan is a country in the Central Asia region of Afghanistan. Occupying 652,000 square kilometers (252,000 sq mi), it is a mountainous country with plains in the north and southwest. Kabul is the capital and largest city.Afghanistan is bordered by Pakistan to the east and south; Iran to the west; Turkmenistan, Uzbekistan, and Tajikistan to the north; and China to the northeast. Dari and Pashto are the official"]
0e8d6620-6d61-4d34-a287-2dc0b386c4e9	text	What pejorative word for a belligerent woman is part of a list of taboos and is used in a set of 10 words that are used 80% of the time?	["Bitch.", "\"The pejorative term \"bitch\" is part of a list of taboos and is used in a set of 10 words that are used 80% of the time.\"", "\"The word the question is referring to is bitch.\"", "\"The word \"bitch\" is included in the set of 10 taboo words out of the over 70 total different taboo words that are used 80% of the time.\"", "\"\"Bitch\" is part of a list of taboos and is used in a set of 10 words that are used 80% of the time\"", "\"\"Bitch\", meaning a belligerent woman is part of a list of taboos and is used in a set of 10 words that are used 80% of the time.\""]	"Bitch"	1	["\"Bitch\" is a derogatory term for a woman who is aggressive, aggressive, or who is weak. When applied to a man, bitch. According to Dr. Timothy Jay, there are \"\"over 70 different taboo words,\"\" but 80 percent of the time only ten words are used, and all of them are derogatory.\""]
5d7dbd42-855a-449f-8eac-92e05a71a49e	text	In which Indian state can you find both Ward No. 133 and Ward No. 76?	["They are both found in the Indian state of West Bengal.", "\"You can find both Ward No. 133 and Ward No. 76 in West Bengal.\"", "\"You can find both Ward No. 133 and Ward No. 76 in West Bengal\"", "\"West Bengal is where they can both be found but only one fact is needed to figure it out.\"", "\"Ward No. 133 and Ward No. 76 are both in West Bengal.\""]	"West Bengal"	1	["WardWard No. 76, Kolkata Municipal Corporation is an administrative division of the City Municipal Corporation in Borough No. 15, covering parts of Garden Reach (Akshay Kanan) neighbourhood in the Indian state of West Bengal in the"]
b7668dbf-3eff-4644-9406-12e451b799ff	text	What enzyme that hydrolyzes phospholipids into fatty acids and other lipophilic substances also plays an important role in the inflammation pathway?	["Phospholipase C", "\"A phospholipase that hydrolyzes phospholipids into fatty acids and other lipophilic substances also plays an important role in the inflammation pathway.\"", "\"Phospholipase C plays an important role in the inflammation pathway.\"", "\"A phospholipase is an enzyme that hydrolyzes phospholipids into fatty acids and other lipophilic substances.\"", "\"Phospholipase hydrolyzes phospholipids into fatty acids and other lipophilic substances.\"", "\"A phospholipase is the enzyme that hydrolyzes phospholipids into fatty acids and other lipophilic substances also plays an important role in the inflammation pathway.\""]	"phospholipase"	1	["AA phospholipase is an enzyme that hydrolyzes phospholips into fatty acids and other lipophilic substances"]
6662ef0b-6a20-4894-9a63-eb3586ba77b1	text	The white-throated robin-chat is found in what continent where the guttural toad resides?	["Africa.", "\"The white-throated robin-chat is found in Africa.\"", "\"The white-throated robin-chat is found on the continent of Africa.\"", "\"The white-throated robin-chat is found in Africa, where the guttural toad also exists.\"", "\"The white-throated robin-chat is found in Africa where the guttural toad also resides.\""]	"Africa"	1	["The is a species of toad in the family Bufonidae. It is found in Angola, Botswana, Democratic Republic of the Congo, Kenya, Lesotho, Malawi, Mauritius, Mozambique, Namibia, R\u00e9union, Somalia, South Africa, Ethiopia, Swaziland, Tanzania, Zambia, and Zimbabwe. For the American or African species see"]
ac3855a0-d40c-4e11-8833-057d88a38e78	text	Richard Archer is a songwriters, guitarist and what, which Ron Dante was the lead version of for in the Cuff Links?	["Singer", "\"Richard Archer is a songwriter, guitarist, and singer, which Ron Dante did as the lead in the Cuff Links.\"", "\"Richard Archer is a songwriter, guitarist and singer, which Ron Dante was the lead version of for in the Cuff Links.\""]	"singer"	1	["RichardRichard Archer is the lead vocalist, guitarist, principal songwriter and main songwriter of indie rock band Hard-Fi.Richard Archer (born in Staines-upon-Thames, Surrey, England) is an English singer-songwriter and guitarist and what, which"]
7609ccbb-71fa-48e7-9060-466af4504260	text	A mudra is used in what kind of activity in India that can be traced to the Tamil text Naatiya Saastram?	["Indian dance.", "\"The Mudra are symbolic gestures used in Indian classical dance among other fields.\"", "\"Mudras are used in Indian dance.\"", "\"A mudra is used in Indian dance that can be traced to the Tamil text Naatiya Saastram.\"", "\"A mudra is used in Indian classical dance in India which can be traced to the Tamil text Naatiya Saastram.\""]	"classical dance"	1	["Indian classical dance is an umbrella term for various performance arts rooted in musical theatre styles. As well as being spiritual gestures employed in the iconography and spiritual practice of Indian religions, mudras have meaning in many forms of Indian dance, and yoga. The range of mudras used in each field (and religion)"]
36bf8a74-0000-47fb-82de-8ddf0a81338f	text	Who stars as Scout in the film that premiered at WorldFest Houston in 1989?	["Sarah Butler", "\"Sarah Butler stars as Scout in Moontrap.\"", "\"Sarah Butler stars as Scout in the film that premiered at WorldFest Houston in 1989.\"", "\"Sarah Butler stars as Scout in the film Moontrap that premiered at WorldFest Houston in 1989.\""]	"Sarah Butler"	1	["The is a 1989 science fiction film from Magic Films.The cast includes Sarah Butler as Scout, the main character; Charles Shaughnessy as Richard Kontral, the ruthless agent of a shadowy organization; and Damon Dayoub as Allen, an adventurer who joins a mission to expose a world-changing secret. Written by Tex Ragsdale and directed by Robert Dyke, it was released on April 28 at WorldFest Houston.[1] A comic book adaptation, \"The Moont"]
452b1a1f-5099-47cd-928b-b53fb70b3628	text	The species first found in the mid Jurassic period are what kind of species that can have short and thick larvae called grubs?	["Beetles.", "\"The species first found in the mid Jurassic period were beetles.\"", "\"Beetles can have short and thick larvae called grubs.\"", "\"Beetles were first found in the mid Jurassic period.\"", "\"Beetle have larvae called grubs and were first found in the mid Jurassic period.\""]	"beetle"	1	["StStag beetles are the largest beetles in the family Lucanidae. They are first found in the mid Jurassic period. Despite their appearance they are not normally aggressive to humans. Male stag beetles use their jaws to wrestle with each other. They fight over females and over food, such as tree sap or decaying fruits. In a few"]
6cf3f1c0-abd0-4398-93e0-a68c4c020caf	text	Clitoria is a genus of mainly tropical and subtropical, insect -pollinated flowering pea vines that gets it's name from what part of the human anatomy that is a female sex organ, whose visible portion is at the front junction of the labia minora (inner lips), above the opening of the urethra?	["It's named after the clitoris.", "\"Clitoria is a genus of mainly tropical and subtropical, insect -pollinated flowering pea vines that gets it's name from the human clitoris, which is a female sex organ, whose visible portion is at the front junction of the labia minora (inner lips), above the opening of the urethra.\"", "\"Clitoria is a genus of mainly tropical and subtropical, insect -pollinated flowering pea vines that gets its name from the clitoris.\"", "\"The genus Clitoria gets its name from the clitoris.\"", "\"The Clitoria genus was named after the human clitoris.\""]	"The clitoris"	1	["NeNeurocarpum Desv. Ternatea Tourn. ex Mill. Clitoria is a genus of mainly tropical and subtropical, insect -pollinated flowering pea vines. This genus was named after the human clitoris, for the flowers bear a resemblance to the vulva. The clitoris (/\u02c8kl\u026at\u0259r\u026as/ (About this soundlisten) or /kl\u0254\u02c8t\u0254\u02d0r"]
6fe09d31-ad6d-4b0c-a725-0c9be58bd7d8	text	What veins drain the large, triangular bone at the base of the spine?	["The internal iliac veins drain this item.", "\"The internal iliac veins drain the large, triangular bone at the base of the spine.\"", "\"The internal iliac veins drain the sacrum, which is the large triangular bone at the base of the spine.\"", "\"The internal iliac veins drain the triangular bone at the base of the spine.\"", "\"The internal iliac vein drains the large, triangular bone at the base of the spine\"", "\"Internal iliac veins drain the large, triangular bone at the base of the spine.\""]	"internal iliac veins"	1	["origal extremities.originate in venous plexuses connected with the pelvic viscera. On the left, the internal iliac vein lies lateral to the iliacus. On the right, this is 93% of the time. The sacrum (plural: sacra or sacrums[1]), in human anatomy, is a large, triangular bone at"]
b12fff9c-7160-4c73-ad30-7ecbb8dc488a	text	The sympathetic nervous system control what type of response triggered by experiences?	["fight-or-flight response", "\"It controls the fight-or-flight response.\"", "\"The sympathetic nervous system control what the fight-or-flight response triggered by experiences.\"", "\"The sympathetic nervous system controls the fight-or-flight response.\"", "\"he sympathetic nervous system controls the fight-or-flight response, which is triggered by certain experiences.\"", "\"The sympathetic nervous system controls fight-or-flight response.\""]	"fight-or-flight"	1	["TheThe SNS is responsible for the fight-or-flight response. The sympathetic nervous system can increase heart rate; make bronchial passages wider; decrease motility (movement) of the large intestine; make blood vessels narrower; increase peristalsis in the es"]
69999876-22cb-4c16-a4ac-4861681d47fc	text	What are the names of two different human genes responsible for encoding monomers that are synthesized as rod-shaped apomucin cores?	["The MUC7 gene and the Mucin-17 are both human genes that encode mucin monomers.", "\"Two different human genes responsible for encoding monomers that are synthesized as rod-shaped apomucin cores are the MUC7 gene and the MUC17 gene.\"", "\"The MUC7 and the MU17 are two different human genes  responsible for encoding monomers that are synthesized as rod-shaped apomucin cores.\"", "\"MUC7 and MUC17 are two human genes responsible for encoding monomers that are synthesized as rod-shaped apomucin cores.\""]	"MUC17 and MUC7"	1	["\" Mucin-7 is a protein that is encoded by the MUC7 gene in humans. In animals, the Muc7 gene is located on chromosome 7. Humans carry either a five or six tandem repeat version of the gene.\"Mucin genes encode mucin monomers that are synthesized as rod-shaped apomucin cores that are post-translationally modified by exceptionally abundant glycosylation. The dense \"\"s"]
3432dd65-a455-4959-be8a-9c9b86bad881	text	The wide and triangular shaped vestibule is in the inlet to another cavity in the lateral wall of what?	["The larynx.", "\"The wide and triangular shaped vestibule is in the inlet to another cavity in the lateral wall of the larynx.\"", "\"The vestibule is found in the lateral wall of the larynx.\"", "\"The wide and triangular shaped vestibule is in the inlet to another cavity in the lateral wall of larynx.\"", "\"It's in the lateral wall of the larynx.\"", "\"It is on the lateral wall of the larynx.\""]	"the larynx"	1	["The.The vestibule is an opening in the lateral wall of the larynx, between the vestibular fold above and the vocal folds below. It is the inlet to another cavity in the medial wall. The portion of the body above the vocal fold is called the vestigial fold."]
