Guid	Qcate	Q	A	Keywords_A	1	Output
7dbec85b-0627-4811-988f-e7124995c2b1	text	What game has 34 character total that are listed in order of thegames in which the debuted?	"Tekken ""The fighting game Tekken has 34 characters total that are listed in the order in which the games were debuted."" ""Tekken has 34 characters total that are listed in order of the games in which they debuted."" ""Tekken Tag Tournament has 34 character total that are listed in order of the games in which the debuted."" ""The game Tekken Tag Tournament contains 34 characters that had appeared in the Tekken series up to that point."	"""Tekken"""	1	The following is a list of characters from Tekken.
8c059ead-6595-4fa4-a1c0-54f14b03ef08	text	Egypt was incorporated by Augustus into the Roman Republic in 30 BC after the deaths of Cleopatra and what person who was the last pharaoh of Ancient Egypt and her son?	"Caesarion was her son and last pharaoh of Egypt. ""After the deaths of Cleopatra and Caesarion, the last pharaoh of Ancient Egypt and her son, Augustus incorporated Egypt into the Roman Republic in 30 BC."" ""Egypt was incorporated by Augustus into the Roman Republic in 30 BC after the deaths of Cleopatra and Caesarion."" ""Egypt was incorporated by Augustus into the Roman Republic in 30 BC after the deaths of Cleopatra and Caesarion"" ""Egypt was incorporated by Augustus into the Roman Republic in 30 BC after the deaths of Cleopatra and Ptolemy XV Caesar, who was the last pharaoh of Ancient Egypt and her son."	"""Caesarion"""	1	Augustus
a5fa9424-2338-47bb-95a3-f25d7a622dfe	text	"The fictional character Natsu ""Salamander"" Dragneel is from what anime series directed by Shinji Ishihira?"	"Fairy Tail. ""Natsu ""Salamander"" Dragneel is from the anime Fairy Tail."" ""The fictional character Natsu ""Salamander"" Dragneel is from Fairy Tail."" ""The fictional character Natsu ""Salamander"" Dragneel is from the anime series Fairy Tail directed by Shinji Ishihira."" ""The fictional character Natsu ""Salamander"" Dragneel is from  Fairy Tail"" ""The fictional character Natsu ""Salamander"" Dragneel is from the Fairy Tail anime series directed by Shinji Ishihira."	"""The Fairy Tail series"""	1	The first season of the Fairy Tail anime series was directed by Shinji Ishihira.
19e2bc3f-8a54-4a27-abf9-46ef3dab7cba	text	What type of area is the Cefa Natural Park and the Putna-Vrancea Natural Park considered as?	"They are considered protected areas. ""Cefa Natural Park and the Putna-Vrancea Natural Park are considered to be protected areas."" ""The Cefa Natural Park is a protected area. The Putna-Vrancea Natural Park is also a protected area. Therefore the answer is protected."" ""Cefa Natural Park and Putna-Vrancea Natural Park are both protected areas."" ""Cefa Natural Park and the Putna-Vrancea Natural Park are considered protected areas"" ""Cefa Natural Park and the Putna-Vrancea Natural Park considered protected areas."	"""protected area"""	1	The Cefa Natural Park is a protected area ( natural park category V IUCN).
742d45fa-2248-44a8-bf1d-b46126e6bd62	text	SONGS and نیروگاه اتمی بوشهر are both names of what?	"Nuclear power plants ""SONGS and نیروگاه اتمی بوشهر are both names of nuclear power plants."" ""SONGS and نیروگاه اتمی بوشهر are both names of power plants."	"""nuclear power plants"""	1	The Bushehr Nuclear Power Plant
4b513ad8-2635-4e4a-9a1b-24e77b624fe5	text	How many families are feliforms subdivided into where are the majority of feliform species found?	"The feliforms are further subdivided into seven families: Eupleridae, Felidae, Herpestidae, Hyaenidae, Nandiniidae, Prionodontinae, and Viverridae, and include the cats, the hyenas, the mongoosesand the viverrids, among others. The majority of feliform species are found in the Old World, though the cats have successfully diversified into the Americas. ""Feliforms subdivided into seven families and the majority of feliform species are found in the Old World."" ""The feliforms are subdivided into seven families. The majority of them are found in the Old World."" ""Feliforms are subdivided into Seven families"" ""Seven families are feliforms subdivided into where are the majority of feliform species found"" ""Feliforms are subdivided into seven families where are the majority of feliform species found."	"""Seven families and in the Old World"""	1	The feliforms include the cats, the hyenas, the mongoosesand the viverrids.
167c830c-b8d0-4ac2-a2cf-1912e342ce45	text	How many years after Count Godfrey II was appointed Duke of lower Lorraine by King Conrad III of Germany was Henry elevated to the rank of Duke of Brabant by Emperor Frederick Barbarossa?	"Henry was elevated to the rank of Duke 44 years after Count Godfrey II was appointed Duke. ""It was 44 years after Count Godfrey II was appointed Duke of lower Lorraine by King Conrad III of Germany that Henry elevated to the rank of Duke of Brabant by Emperor Frederick Barbarossa?"" ""Count Godfrey II was appointed Duke of Lower Lorraine 44 years after Henry was elevated to the rank of Duke of Brabant."" ""Henry was elevated to the rank of Duke of Brabant by Emperor Frederick Barbarossa 44 years after Count Godfrey II was appointed Duke of lower Lorraine by King Conrad III of Germany."" ""Henry was elevate to the rank of Duke 44 years after this event."	"""Forty-four years"""	1	In 1139 Godfrey II was again appointed Duke of Lower Lorraine by King Conrad III of Germany and also received the Margraviate of Antwerp. In 1183, he had his son Henry elevated to the rank of Duke of Brabant by Emperor Frederick Barbar
d2c043b3-8eed-4de8-bc16-dec403419558	text	How many years were in between Hall & Oates first ever time reaching #1 and the release of their album titled Private Eyes?	"4 ""There were four years between Hall & Oates first  #1 hit and the release of their album titled Private Eyes"" ""4 years were in between Hall & Oates' first ever time reaching #1 and the release of their album titled Private Eyes."" ""4 years were in between Hall & Oates first ever time reaching #1 and the release of their album titled Private Eyes"" ""There were four years were in between Hall & Oates first ever time reaching #1 and the release of their album titled Private Eyes."" ""4 years were in between Hall & Oates's first ever time reaching #1 and the release of their album titled Private Eyes"	"""About 4 years"""	1	The song became the fourth number one hit single of their career on the Billboard Hot 100.
84810aae-297b-4529-bbcc-db9da6c3d92b	text	How many years were between the creation of the third formation of the Department of Kansas and the creation of the Territory of Colorado?	"Territory of Colorado was created three years before the third formation of the Department of Kansas. ""There were 3 years between."" ""Three years were between the creation of the third formation of the Department of Kansas and the creation of the Territory of Colorado."" ""There were over 3 years between the creation of the third formation of the Department of Kansas and the creation of the Territory of Colorado."" ""3 years were between the creation of the third formation of the Department of Kansas and the creation of the Territory of Colorado."	"""3 years"""	1	The Territory of Colorado was created to govern this western region of the former Kansas Territory.
f72eb293-8a82-42a1-ac0e-e2289d960d07	text	How many regular season wins did the Pittsburgh Panthers have over the Cornell Big Red football team in 1931?	"The Pittsburgh Panthers had 1 more regular season win than the Cornell Big Red football team in 1931. ""Pittsburgh Panthers won one more regular season over the Cornell Big Red football team in 1931."" ""The Pittsburgh Panthers had one more regular season win than the Cornell Big Red football team in 1931."" ""In 1931, the Pittsburgh Panthers had one more regular season win than the Cornell Big Red football team."" ""The Pittsburgh Panthers had one regular season win over the Cornell Big Red football team in 1931."	"""1"""	1	The 1931 Pittsburgh Panthers football team, coached by Jock Sutherland, represented the University of Pittsburgh in the 1931 college football season.
3b022328-4c99-4cde-a9df-3236e86ed490	text	A disease in the cerebral venous system caused by thrombosis and the occurrence of when a blood vessel supplying blood to the brain becomes blocked both relate to what?	"An ischemic stroke. ""A disease in the cerebral venous system caused by thrombosis and the occurrence of when a blood vessel supplying blood to the brain becomes blocked both relate to an ischemic stroke."" ""A disease in the cerebral venous system caused by thrombosis and the occurrence of when a blood vessel supplying blood to the brain becomes blocked both relate to strokes."" ""Neonatal cerebral sinovenous ischemic stroke, the disease in the cerebral venous system caused by thrombosis, and Ischemic stroke, which occurs when a blood vessel supplying blood to the brain becomes blocked are both types of strokes."" ""They both relate to strokes."" ""They relate to strokes."	"""Ischemic strokes"""	1	A stroke occurs when a blood vessel supplying blood to the brain becomes blocked.
f69b4fb3-83e1-4020-86a5-8443677ae3b2	text	What consists of two layers: an outer formed by the trophoblast, and an inner formed by the somatic mesoderm and along with the amnion, the yolk sac and the allantois  forms a protective sac around the embryo?	"Chorion. ""The chorion consists of two layers."" ""The chorion consists of two layers, the trophoblast and the somatic mesoderm."" ""The chorion consists of two layers: an outer formed by the trophoblast, and an inner formed by the somatic mesoderm and along with the amnion, the yolk sac and the allantois forms a protective sac around the embryo."	"""chorion"""	1	The chorion is made up of two layers.
a8c2581b-fbec-4b00-af26-5a01efee7453	text	In the region that was part of the breakaway Palmyrene Empire, parts of them were controlled by what empire many millennia ago?	"The Neo-Sumerian Empire. ""Parts of Syria were controlled by the Neo-Sumerian Empire."" ""In the region that was part of the breakaway Palmyrene Empire, parts of them were controlled by the Neo-Sumerian Empire, Old Assyrian Empire and Babylonian Empire many millennia ago."" ""Parts of them were controlled by the Neo-Sumerian Empire."" ""Parts of Syria were controlled by the Neo-Sumerian Empire, Old Assyrian Empire and Babylonian Empire many millennia ago."	"""Babylonian Empire"""	1	Neo-Sumerian Empire, Old Assyrian Empire and Babylonian Empire
d1420497-f173-4920-a4aa-51c0e4b2d6d2	text	Syria-Jordan and The Jordan-Golan Heights are both names of what?	"Borders ""Syria-Jordan and The Jordan-Golan Heights are both names of borders"" ""Syria-Jordan and The Jordan-Golan Heights are both names of borders."" ""The Jordan-Golan Heights are part of the Jordan-Syria border."	"""borders"""	1	Syrian government retakes majority of Syria-Jordan border
00c348a7-dd37-41ae-81eb-2eb56333211a	text	Vesicular transport adaptor and STAPs are both types of what?	"Proteins ""Vesicular transport adaptor and STAPs are both types of adaptor proteins."" ""Vesicular transport adaptor and STAPs are both types of proteins"" ""Vesicular transport adaptors and STAPs are both types of proteins."" ""Vesicular transport adaptor and STAPs are both types of proteins."	"""Both proteins"""	1	Adaptor proteins are proteins involved in forming complexes that function in the trafficking of molecules from one subcellular location to another
ef95cadf-7a65-4cda-940b-f37851397566	text	What continent would you find both ceriops tagal and avicennia germinans?	"Both are found in Africa. ""The continent of Africa contains both the ceriops tagal and avicennia germinans."" ""Ceriops tagal and Avicennia germinans can be found in Africa."" ""You would find both ceriops tagal and avicennia germinans in Africa."	"""Africa"""	1	Ceriops tagal is a tree species in the family Rhizophoraceae.
7ba6d095-7d36-48e9-ab19-083da5ddfd85	text	The red-wattled lapwing is part of the Vanellus indicus family that contains all lapwings except what?	"Red-kneed dotterel. ""The red-wattled lapwing is part of the Vanellus indicus family that contains all lapwings except red-kneed dotterel"" ""The red-wattled lapwing is part of the Vanellus indicus family that contains all lapwings except the red-kneed dotterel."" ""The exception is the red-kneed dotterel."" ""The red-wattled lapwing is part of the Vanellus indicus family that contains all lapwings except red-kneed dotterel."	"""red-kneed dotterel"""	1	The red-wattled lapwing ( Vanellus indicus) is an Asian lapwing or large plover, a wader in the family Charadriidae.
458ae8aa-5c56-466c-84aa-013000576005	text	In the composite subatomic particles made of an odd number of valence quarks with the most familiar being protons and neutrons, what do they make up in the universe?	"Most of the visible matter. ""The majority of observable matter is built up of composite subatomic particles composed of an odd number of valence quarks, the most familiar of which are protons and neutrons."" ""Baryons are the protons and neutrons which make up most of the visible matter in the universe."" ""Baryons make up most of the visible matter in the universe."" ""They make up most of the visible matter in the universe."" ""In the composite subatomic particles made of an odd number of valence quarks with the most familiar being protons and neutrons, they make up most of the visible matter in the universe."	"""most of the visible matter"""	1	Baryons
ad195bd7-2beb-4607-bb3c-f1776081b844	text	Would Biological taxonomists attach the New World label to species found south of Berkner Island?	"The label is only attached to species from the Americas, and south of Berkner Island is Antarctica ""No, biological taxonomists would not attach the New World label to species found south of Berkner Island."" ""Biological taxonomists would not attach the New World label to species found south of Berkner Island."" ""No, because south of Berkner Island is not a part of the Americas."" ""No, biological taxonomists would not attach the New World label to species found south of Berkner Island since this area is not part of the Americas."" ""No. Berkner Island is not in the Americas."	"""no"""	1	The southernmost point on Earth is the Geographic South Pole.
efe70fea-435f-48e1-b745-e7c9df38117a	text	PCD and PNP are both what kind of syndrome in which a cancer cell can create proteins that are normally only found as naturally-occurring proteins in other cell types in other parts of the body?	"Paraneoplastic ""They are both a paraneoplastic syndrome."" ""PCD and PNP are both paraneoplastic syndromes."" ""PCD and PNP are both autoimmune disorders."" ""PCD and PNP are both paraneoplastic syndromes"	"""Paraneoplastic"""	1	A cancer cell can create proteins that are normally only found as naturally-occurring proteins in other cell types in other parts of the body.
33ef18f4-35eb-48de-921a-f93b5bb662bd	text	Why would a Melaleuca alternifolia be in danger from aphids?	"Melaleuca alternifolia is a tree.  Aphids are among the most destructive inspect pests on plants. ""A Melaleuca alternifolia would be in danger from aphids because they are the most destructive insect pests,"" ""Aphids weaken plants by sucking their sap."" ""Melaleuca alternifolia would be in danger from aphids because it is a tree, and aphids weaken plants by sucking the sap and are disease vectors for plants."" ""Melaleuca alternifolia is a tree."" ""Aphids are among the most destructive insect pests on cultivated plants in temperate regions."	"""It is a plant."""	1	It is derived from the leaves of Melaleuca alternifolia, native to southeast Queensland and the northeast coast of New South Wales, Australia.
b96ec5e0-5f44-422e-8b75-cabec3747107	text	How far is Puerto Rico from Miami, Florida  and what is its position in terms of size relative to other islands in the world?	"Puerto Rico is approximately 1,000 miles (1,600 km) southeast of Miami, Florida and the 82nd largest island in the world. ""Puerto Rico is the 82nd largest island in the world and is located roughly 1,000 miles southeast of Miami, Florida."" ""Puerto Rico is located approximately 1,000 miles southeast of Miami and it's the 82nd largest island in the world."" ""It is 1,000 miles from Miami and is the 82nd largest island in the world."" ""Puerto Rico is about one thousand miles from Miami, Florida and is the third largest island in the US and 82nd largest in the world."	"""It is approximately 1,000 miles (1,600 km) southeast of Miami, Florida and is the 82nd largest island in the world"""	1	With an area of 3,515 square miles (9,104 km 2 ), it is the third largest island in the United States.
6c4534de-d66d-4ae2-b1c6-f8639046ea19	text	"in what country were both Ken Hughes ""Confession"" and Tanel Toom's ""The Confession"" made?"	"Britain. ""Ken Hughes ""Confession"" and Tanel Toom's ""The Confession"" were made in Great Britain"" ""Both Ken Hughes ""Confession"" and Tanel Toom's ""The Confession"" were made in the United Kingdom."" ""Ken Hughes ""Confession"" and Tanel Toom's ""The Confession"" were made in Britain."" ""In Great Britain was where both Ken Hughes ""Confession"" and Tanel Toom's ""The Confession"" were made."" ""Ken Hughes ""Confession"" and Tanel Toom's ""The Confession"" were both made in Britain."	"""Great Britain"""	1	The Confession is a 2010 British melodramatic short film.
4444b306-c44f-4c9c-a5ca-5cdd75257138	text	Was the 4th Baron Grey of Codnor present at the ceremony that created the 1st Duke of Suffolk jureuxoris?	"No, the 4th Baron Grey of Codnor was dead when the ceremony occurred. ""Yes, as Henry Grey was the 1st Duke of Suffolk jureuxoris, he was present at the ceremony."" ""No, Henry Grey the 4th Baron Grey of Codnor died in 1496, before Henry Grey, 1st Duke of Suffolk was created Duke of Suffolk jure uxoris in 1551."" ""The 4th Baron Grey of Codnor was not present at the ceremony that created the 1st Duke of Suffolk jureuxoris since he was dead"" ""The 4th Baron Grey of Codnor was dead by the time the First Duke of Suffolk jureuxoris was created."" ""4th Baron Grey of Codnor was not present because he was dead before the ceremony happened."	"""No, he was dead."""	1	Henry Grey was created Duke of Suffolk jure uxoris on 11 October 1551.
35984a38-57ea-46c1-a856-9dce22b7572f	text	The Indravati River is a stream of what river that merges with the Sabari river when it crosses the border into Andhra Pradesh?	"The Godavari. ""The Indravati River is a stream of the river Godavari."" ""The river Godavari is a stream of the Indravati River and also merges with the Sabari river."" ""The Indravati River is a stream of Godavari that merges with the Sabari river when it crosses the border into Andhra Pradesh."" ""The Indravati River is a stream of the Godavari."" ""The Indravati River is a stream of the river Godavari which merges with the Sabari river when it crosses the border into Andhra Pradesh."	"""the river Godavari"""	1	It originates in Andhra Pradesh and also flows through Odisha before merging with Sabari.
c5601be4-6d14-4ceb-b24c-f0371c387e86	text	Who complicates the plan in the film written by Vincent Patrick, David Aaron Cohen, and Kevin Jarre?	"an Irish-American policeman ""It says that the film ""The Devil's Own "" was written by Vincent Patrick, David Aaron Cohen, and Kevin Jarre. It also says that in the movie, the  plan to obtain black market helicopters is complicated by an Irish-American policeman played by Ford. Therefore the answer is an Irish-American policeman played by Ford."" ""An Irish- American policeman (Ford) complicates the plan in the film written by Vincent Patrick, David Aaron Cohen, and Kevin Jarre."" ""an Irish-American policeman (Ford), whom the IRA member has come to regard as family complicates the plan in the film written by Vincent Patrick, David Aaron Cohen, and Kevin Jarre."" ""An Irish-American policeman complicates the plan in the film written by Vincent Patrick, David Aaron Cohen, and Kevin Jarre."" ""Ford complicates the plan in the film written by Vincent Patrick, David Aaron Cohen, and Kevin Jarre."	"""An Irish-American policeman."""	1	The plot revolves around a member of the Provisional Irish Republican Army.
361447e1-2820-44f3-9762-52dc4fc3cca9	text	How does winning differ between the game Ambition and the game euchre?	"In Ambition the winner has the second highest point total, but in euchre the winner has the highest point total. ""In Euchre the winner has the most points whereas in Ambition it is actually best to take the second-largest number of points."" ""In Euchre, you win for taking the majority of the tricks in a hand, but in Ambition you try to take the second-largest number of points."" ""In Ambition, it is actually best to take the second-largest number of points. In Euchre, you want to have the most points."" ""In Euchre, you score the most points by taking the most tricks, while in Ambition it is better to take the second-largest number of tricks."	"""In order to win in Euchre one must accrue the most amount of points whereas in Ambition the winner is the person who has the second largest number of points."""	1	In Euchre, you win a hand and score points for taking the majority of the tricks in a hand.
62c20fcd-dc68-4b6d-a057-549b239a8a8e	text	The person whose known dialogues frequently feature Socrates defined how many forms of government?	"Five ""Plato defines five forms of government, Aristocracy, Timocracy, Oligarchy, Democracy, and Tyranny."" ""Plato defined 5 forms of government"" ""he person whose known dialogues frequently feature Socrates defined five forms of government"" ""The person defined five forms of government."" ""Plato, whose known dialogues frequently featured Socrates, defined five forms of government."	"""Five forms."""	1	These are Plato's known dialogues.
74d0d1a5-c65d-4b03-9bba-dd72883ac71c	text	The Western Australian Persoonia pentasticha and the Queensland Persoonia iogyna both belong to what family?	"Proteaceae. ""They both belong to the Proteaceae family."" ""The Western Australian Persoonia pentasticha and the Queensland Persoonia iogyna both belong to the Proteaceae family."" ""The Western Australian Persoonia pentasticha and the Queensland Persoonia iogyna both belong to the family Proteaceae."	"""Proteaceae"""	1	Persoonia pentasticha
d780f566-62a1-49e7-bf3d-d0b220060d83	text	In the Jain traditions, what is the Vinayaki considered as that is the same as the Dea Africa?	"They are goddesses. ""In the Jain traditions Vinayaki is considered a goddess."" ""In the Jain traditions, the Vinayaki is considered a goddess."" ""Vinayaki is considered a goddess."" ""The Vinayaki is considered as a goddess."" ""In the Jain traditions, the Vinayaki are goddesses."	"""goddess"""	1	A 2nd-century CE Tunisian mosaic of Goddess Africa with Four Seasons.
09be5f05-f2d8-4168-975a-1f9e04e9089a	text	Which fly is found in more US states: the Drosophila silvestris or the Drosophila nigrospiracula?	"The Drosophila silvestris can be found in only one state while the Drosophila nigrospiracula can be found in two states. ""The Drosophila nigrospiracula is found in more states, Arizona and California, than the Drosophila silvestris which is only found in Hawaii."" ""The Drosophila nigrospiracula fly is found in more US states than the Drosphila silvestris fly."" ""The Drosophila nigrospiracula fly is found in more states."" ""Drosophila nigrospiracula is found in more US states."" ""Drosophila nigrospiracula is found in more US states than Drosophila silvestris."	"""Drosophila nigrospiracula"""	1	Drosophila nigrospiracula is a fly species indigenous to the Sonoran Desert.
7b246816-8a59-4bac-bd6b-c259d4453fb5	text	From which American animal genus can you get Mink oil?	"neovision ""You can you get Mink oil from an animal from the genus Neovison."" ""You can get Mink oil from the genus Neovison."" ""It's from the genus Neovison."" ""From the American animal genus Neovison you can get Mink oil."" ""The American mink is the only extant member of the genus Neovison."	"""Neovison"""	1	Mink oil contains palmitoleic acid, which possesses physical properties similar to human sebum.
9a6f489b-d47c-4885-8114-7642ac93ace7	text	The oldest of the seven Pleiades is the mother of whom?	"Hermes ""The oldest of the seven Pleiades is the mother of Hermes."" ""She is the mother of Hermes."" ""The oldest of the seven Pleiades is the mother of Hermes"	"""Hermes"""	1	Maia is the oldest of the seven Pleiades.
f1a73b6b-815d-41b4-990b-881bd725aa17	text	To which state does Panambur belong to?	"Karnataka. ""Panambur belong to Karnataka state."" ""Panambur belongs to Karnataka."" ""Panambur belongs to the state of Karnataka."" ""It is in the Indian state of Karnataka."" ""Panambur belongs to Karnataka"	"""Karnataka"""	1	Panambur Beach
9e36b0de-4c54-4a78-87d9-bd8fb5a130dc	text	Why can pulmonary edema lead to a sudden loss of blood flow resulting from the failure of the heart to pump effectively?	"Hypoxia can cause pulmonary edema to lead to this condition. ""Pulmonary edema can lead to a sudden loss of blood flow due to hypoxia resulting from the failure of the heart to pump effectively."" ""Pulmonary edema can lead to a sudden loss of blood flow resulting from the failure of the heart to pump effectively due to coronary artery disease."" ""Pulmonary edema can lead to a sudden loss of blood flow resulting from the failure of the heart to pump effectively due to hypoxia"" ""It is due to hypoxia."" ""Pulmonary edema can lead to cardiac arrest, a sudden loss of blood flow resulting from the failure of the heart to pump effectively, due to hypoxia."	"""Due to hypoxia."""	1	Pulmonary edema can lead to respiratory failure or cardiac arrest due to hypoxia.
d9a9e362-775f-41b1-910d-d602bb16d451	text	Lamoille Canyon is in what mountain range most of which is included in the Humboldt-Toiyabe National Forest.	"The Ruby Mountains are a mountain range included mostly in the Humboldt-Toiyabe National Forest ""Lamoille Canyon is in the Ruby Mountains of Elko County."" ""Lamoille Canyon islocated in the Ruby Mountains range."" ""Lamoille Canyon is located in the Ruby Mountains."" ""It's in the Ruby Mountains of Elko County, in the northeastern section of the state of Nevada."" ""Lamoille Canyon is in the Ruby Mountains range."	"""Ruby Mountains"""	1	Right Fork Canyon is located in the Ruby Mountains.
4a22bcf1-8ce9-46b4-bfad-67cd6985bad8	text	Would a democrat generally have a better chance of being elected in Virginia or Tennessee's fifth district?	"A democrat would have a better chance in Tennessee's fifth district as no Republican has represented Nashville in Congress since 1875 and there has been growth for Republicans in Charlottesville. ""A democrat would generally have a better chance of being elected in Tennessee's fifth district."" ""A Democrat would have a better chance being elected in Tennessee's fifth district due almost entirely to the influence of heavily Democratic Nashville. Meanwhile, the Virginia 5th district has turned Republican due to the growth of middle-class Republicanism in the Charlottesville metropolitan area."" ""A democrat would generally have a better chance of being elected in Virginia fifth district"" ""A democrat would generally have a better chance of being elected in Tennessee's fifth district than in Virginia's fifth district."" ""A Democrat generally has a better chance of being elected in Tennessee's fifth district."	"""Tennessee's fifth district"""	1	Historically, the 5th was one of the first districts of Virginia to turn Republican in presidential elections.
d38933d9-a69f-4aa3-aabc-9aca26ff5cbb	text	On which continent could Cironius Scurrulus and C exoletus both be found?	"Both C Scurrulus and C exoletus can be found in South America. ""Cironius Scurrulus and C exoletus could both be found on the South America continent"" ""Cironius Scurrulus and C exoletus can both be found in South America."" ""Cironius Scurrulus and C exoletus can both be found on the South America."" ""Chironius scurrulus and Chironius exoletus could both be found in South America."	"""South America"""	1	Chironius scurrulus is a large slender colubrid snake.
2c914a36-0cf9-4f48-9505-43dec0dd0a3b	text	Are the roots of the articles that called for the end of feudalism and the strengthening of the commons agreed upon?	"No, the roots of the Twelve Articles are disputed. ""The roots of the Twelve Articles are disputed."" ""No, the roots of the articles that called for the end of feudalism and the strengthening of the commons are disputed and attributed to different people."" ""The roots of the Twelve Articles that called for the end of feudalism and the strengthening of the commons are disputed."" ""No, the roots of the articles that called for the end of feudalism and the strengthening of the commons are not agreed upon."	"""No"""	1	The Twelve Articles succinctly called for the end of feudalism and the strengthening of the commons.
53057868-86fc-46fe-8649-d22e874f5208	text	Are the Socialist Party in Belgium and the Socialist Equality Party (SEP), both democratic?	"Yes, Belgium Socialist Party is a social democratic party and the Socialist Equality Party's (SEP) goal is to create a socialist, democratic and egalitarian society. ""Yes, both the Socialist Party in Belgium and the Socialist Equality Party are democratic."" ""The Socialist Party in Belgium and the Socialist Equality Party (SEP) are both democratic"" ""Yes, both are democratic."" ""Yes, both the Socialist Party in Belgium and the Socialist Equality Party (SEP) can be described as democratic."" ""Yes, both parties are democratic."	"""Yes"""	1	The Socialist Equality Party is a political party of and for the working class.
4b06a825-34d7-4228-8730-15646a73ed06	text	Which bright constellation in the southern sky, and one of the largest constellations, was represented in Greek mythology as a creature that is half human, half horse?	"In Greek mythology, Centaurus represents a centaur. ""Centaurus represents a centaur in Greek mythology and is located in the southern sky."" ""Centaurus was represented in Greek mythology as a creature that is half human, half horse."" ""Centaurus is the bright constellation in the southern sky, and one of the largest constellations, which was represented in Greek mythology as a creature that is half human, half horse"" ""Centaurus is the bright constellation in the southern sky, and one of the largest constellations, was represented in Greek mythology as a creature that is half human, half horse"" ""Centaurus is a bright constellation in the southern sky that represents a centaur."	"""Centaurus"""	1	Centaurus is a constellation in the southern sky.
42cdf66c-9955-4ef0-90e9-99271c8dd171	text	Who is a fictional character from BioWare's Dragon Age franchise or a fictional anti-heroine character and the female protagonist in Capcom 's Darkstalkers series?	"Morrigan. ""Characters named ""Morrigan"" appear in the Dragon Age franchise and the Darkstalkers series."" ""Morrigan is the name of both a fictional character from BioWare's Dragon Age franchise and a fictional anti-heroine character and the female protagonist in Capcom 's Darkstalkers series."" ""Morrigan is the character that matches both descriptions."" ""Morrigan is the name of both a fictional character from BioWare's Dragon Age franchise and a fictional female protagonist in Capcom 's Darkstalkers series."" ""Morrigan is a fictional character from BioWare's Dragon Age franchise or a fictional anti-heroine character and the female protagonist in Capcom 's Darkstalkers series."	"""Morrigan Aensland"""	1	Morrigan Aensland
084c7568-669a-4259-8ba3-d4b247394bcb	text	"What is a butterfly of the family Nymphalidae and has a name that means ""to make pointed"""	"Charaxes ethalion ""Charaxes is a butterfly of the family Nymphalidae and has a name that means ""to make pointed""."" ""Charaxes is a name which means ""to make pointed."""" ""The butterfly of the family Nymphalidae that has a name meaning ""to make pointed"" is the Charaxes ethalion."" ""Charaxes ethalion is a butterfly in the family Nymphalidae and has a name that means ""to sharpen."""" ""Charaxes are a butterfly from the family Nymphalidae whose name means ""to make pointed""."	"""Charaxes ethalion"""	1	Charaxes ethalion, the satyr emperor or satyr charaxes, is a butterfly of the family Nymphalidae. It is found in southern Africa.
4f05bf97-ea13-4105-b407-8a69c471fdf0	text	What is a drink made from fermented sap of coconut flowers and produced in the section of Asia where Indonesia is located?	"Arrack ""Arrack is a drink made from fermented sap of coconut flowers and produced in the section of Asia where Indonesia is located."" ""Arrack is a drink made from fermented sap of coconut flowers and produced in the section of Asia where Indonesia is located"" ""Arrack is a drink made from fermented sap of coconut flowers and is made in Indonesia."" ""This drink is called Arrack."	"""arrack"""	1	Arrack is a distilled alcoholic drink typically produced in the Indian subcontinent and Southeast Asia.
ff1f698c-f8f6-444a-9d53-ae9593894b03	text	What is the second longest example in North America of the type of thing that San Juan river is?	"Mississippi River ""The Mississippi River, which is the same type of body of water as the San Juan river, is the second longest river in North America."" ""The second longest river in North America is the Mississippi river."" ""The Mississippi River is the second longest example in North America of the type of thing that San Juan river is."" ""The second longest example in North America of a river is the Mississippi."" ""The Mississippi River is the second longest river in North America like the San Juan river."	"""The Mississippi River"""	1	The Mississippi River.
b5b923c2-d66c-40d3-944c-4da16bfa8bd3	text	What city is a transitional region between coastal plain, river valley and moorland and was a boomtown of the Industrial Revolution?	"Preston. ""The City of Preston was a boomtown of the Industrial Revolution."" ""The City of Preston district is a transitional region between coastal plain, river valley and moorland and was a boomtown of the Industrial Revolution."" ""This city is Preston."" ""Preston, Lancashire is a transitional region between coastal plain, river valley and moorland and was a boomtown of the Industrial Revolution."" ""The City of Preston is a transitional region between coastal plain, river valley and moorland and was a boomtown of the Industrial Revolution."	"""Preston"""	1	Preston is a transitional region between coastal plain, river valley and moorland.
21be885f-9dc9-4422-b092-5b8b9d51fc70	text	Does the Agent in charge from the Hannibal Lecture series have the same name as a famous cricketer?	"Yes. ""The Agent in charge from the Hannibal Lecture series has the same last name as a famous cricketer"" ""Yes, Jack Crawford is the name of both an agent in the Hannibal Lecter series and a cricketer."" ""Both the Agent in charge character from the Lecture series and a well-known cricket player have the last name of Crawford."" ""The agent, Jack Crawford, in charge from the Hannibal Lecture series share the same name as Jack Crawford a famous all-rounder cricketer."" ""Yes, the agent in charge from the Hannibal Lecter series and a famous cricketer share the name Jack Crawford."	"""Yes, the same surname"""	1	Jack Crawford
